date,station_id,users_count
2023-01-01,6089.11,41
2023-01-01,6098.1,86
2023-01-01,6098.12,48
2023-01-01,6101.11,9
2023-01-01,6107.08,43
2023-01-01,6115.06,39
2023-01-01,6115.09,13
2023-01-01,6116.03,4
2023-01-01,6122.09,60
2023-01-01,6128.04,3
2023-01-01,6131.12,35
2023-01-01,6131.13,31
2023-01-01,6134.03,8
2023-01-01,6134.13,7
2023-01-01,6137.04,4
2023-01-01,6140.05,104
2023-01-01,6143.05,3
2023-01-01,6148.02,19
2023-01-01,6151.03,1
2023-01-01,6157.04,101
2023-01-01,6164.09,34
2023-01-01,6170.02,29
2023-01-01,6173.08,68
2023-01-01,6176.11,6
2023-01-01,6179.07,33
2023-01-01,6190.03,4
2023-01-01,6190.08,43
2023-01-01,6191.06,5
2023-01-01,6197.02,74
2023-01-01,6197.08,82
2023-01-01,6203.02,24
2023-01-01,6206.08,34
2023-01-01,6209.05,4
2023-01-01,6209.08,7
2023-01-01,6212.08,10
2023-01-01,6215.04,27
2023-01-01,6218.04,3
2023-01-01,6224.03,58
2023-01-01,6224.05,72
2023-01-01,6224.06,45
2023-01-01,6230.04,54
2023-01-01,6233.05,28
2023-01-01,6239.08,72
2023-01-01,6247.06,20
2023-01-01,6248.06,26
2023-01-01,6251.06,12
2023-01-01,6254.06,19
2023-01-01,6257.03,78
2023-01-01,6258.03,9
2023-01-01,6266.06,59
2023-01-01,6280.12,30
2023-01-01,6283.05,2
2023-01-01,6286.02,33
2023-01-01,6289.06,79
2023-01-01,6297.02,41
2023-01-01,6297.07,26
2023-01-01,6300.04,8
2023-01-01,6303.01,44
2023-01-01,6306.01,54
2023-01-01,6306.06,55
2023-01-01,6307.07,5
2023-01-01,6310.06,27
2023-01-01,6313.1,41
2023-01-01,6319.01,5
2023-01-01,6319.07,10
2023-01-01,6322.01,82
2023-01-01,6325.01,7
2023-01-01,6331.01,49
2023-01-01,6345.08,54
2023-01-01,6352.01,29
2023-01-01,6364.07,100
2023-01-01,6364.1,121
2023-01-01,6373.07,22
2023-01-01,6379.03,16
2023-01-01,6382.05,33
2023-01-01,6389.09,38
2023-01-01,6395.01,10
2023-01-01,6398.06,35
2023-01-01,6398.08,24
2023-01-01,6401.03,2
2023-01-01,6416.06,67
2023-01-01,6422.08,18
2023-01-01,6422.09,14
2023-01-01,6425.04,51
2023-01-01,6429.01,56
2023-01-01,6432.1,19
2023-01-01,6432.11,66
2023-01-01,6435.02,11
2023-01-01,6435.03,5
2023-01-01,6441.01,23
2023-01-01,6441.02,20
2023-01-01,6441.06,25
2023-01-01,6450.05,51
2023-01-01,6450.12,99
2023-01-01,6453.02,2
2023-01-01,6459.04,96
2023-01-01,6459.07,75
2023-01-01,6462.19,34
2023-01-01,6464.08,20
2023-01-01,6464.09,18
2023-01-01,6471.02,8
2023-01-01,6474.02,65
2023-01-01,6474.11,36
2023-01-01,6483.06,44
2023-01-01,6492.04,41
2023-01-01,6495.17,5
2023-01-01,6498.09,21
2023-01-01,6498.1,30
2023-01-01,6505.09,7
2023-01-01,6511.03,4
2023-01-01,6517.08,2
2023-01-01,6520.06,1
2023-01-01,6526.01,11
2023-01-01,6526.05,93
2023-01-01,6532.06,35
2023-01-01,6536.02,9
2023-01-01,6541.03,24
2023-01-01,6563.12,17
2023-01-01,6569.07,55
2023-01-01,6569.09,25
2023-01-01,6572.08,10
2023-01-01,6575.03,41
2023-01-01,6584.12,13
2023-01-01,6593.15,165
2023-01-01,6596.1,5
2023-01-01,6599.01,49
2023-01-01,6602.05,77
2023-01-01,6605.08,10
2023-01-01,6608.09,33
2023-01-01,6611.02,66
2023-01-01,6614.01,20
2023-01-01,6617.02,29
2023-01-01,6617.09,32
2023-01-01,6626.01,53
2023-01-01,6626.11,47
2023-01-01,6629.06,3
2023-01-01,6638.01,11
2023-01-01,6644.07,35
2023-01-01,6650.07,41
2023-01-01,6659.01,17
2023-01-01,6659.03,50
2023-01-01,6659.09,42
2023-01-01,6659.1,5
2023-01-01,6662.01,2
2023-01-01,6662.09,8
2023-01-01,6664.05,13
2023-01-01,6670.03,9
2023-01-01,6676.02,76
2023-01-01,6679.11,13
2023-01-01,6682.03,26
2023-01-01,6682.08,15
2023-01-01,6688.01,15
2023-01-01,6700.14,36
2023-01-01,6711.13,38
2023-01-01,6717.06,93
2023-01-01,6720.07,4
2023-01-01,6723.1,29
2023-01-01,6726.01,113
2023-01-01,6729.02,3
2023-01-01,6732.01,18
2023-01-01,6735.03,1
2023-01-01,6737.03,8
2023-01-01,6743.06,9
2023-01-01,6747.06,81
2023-01-01,6750.16,26
2023-01-01,6753.08,71
2023-01-01,6756.01,77
2023-01-01,6756.05,61
2023-01-01,6759.15,8
2023-01-01,6762.04,37
2023-01-01,6765.01,119
2023-01-01,6766.03,2
2023-01-01,6779.04,38
2023-01-01,6779.05,36
2023-01-01,6782.01,47
2023-01-01,6786.02,35
2023-01-01,6789.04,30
2023-01-01,6795.01,41
2023-01-01,6798.01,8
2023-01-01,6801.01,31
2023-01-01,6806.06,9
2023-01-01,6809.07,110
2023-01-01,6812.06,9
2023-01-01,6814.01,24
2023-01-01,6816.07,88
2023-01-01,6819.15,15
2023-01-01,6822.09,71
2023-01-01,6827.11,26
2023-01-01,6830.02,22
2023-01-01,6839.04,38
2023-01-01,6839.1,95
2023-01-01,6847.02,16
2023-01-01,6850.01,20
2023-01-01,6854.05,36
2023-01-01,6860.12,17
2023-01-01,6865.03,19
2023-01-01,6873.01,5
2023-01-01,6876.04,187
2023-01-01,6879.04,9
2023-01-01,6884.03,24
2023-01-01,6887.03,11
2023-01-01,6889.12,32
2023-01-01,6890.01,48
2023-01-01,6890.06,39
2023-01-01,6893.1,13
2023-01-01,6896.16,28
2023-01-01,6901.01,16
2023-01-01,6904.06,104
2023-01-01,6912.01,83
2023-01-01,6915.02,10
2023-01-01,6920.03,63
2023-01-01,6923.2,17
2023-01-01,6925.09,48
2023-01-01,6926.01,26
2023-01-01,6929.02,7
2023-01-01,6932.14,7
2023-01-01,6932.15,13
2023-01-01,6937.07,5
2023-01-01,6943.07,12
2023-01-01,6948.1,178
2023-01-01,6951.03,15
2023-01-01,6953.08,37
2023-01-01,6955.01,36
2023-01-01,6955.05,39
2023-01-01,6958.06,19
2023-01-01,6960.1,28
2023-01-01,6966.04,9
2023-01-01,6969.08,14
2023-01-01,6981.16,11
2023-01-01,6989.07,11
2023-01-01,6991.12,32
2023-01-01,6996.01,5
2023-01-01,6998.08,56
2023-01-01,7003.06,6
2023-01-01,7009.02,12
2023-01-01,7014.12,80
2023-01-01,7018.01,8
2023-01-01,7020.09,82
2023-01-01,7023.04,27
2023-01-01,7026.08,15
2023-01-01,7028.04,22
2023-01-01,7039.03,3
2023-01-01,7049.04,22
2023-01-01,7052.01,43
2023-01-01,7057.07,30
2023-01-01,7059.01,32
2023-01-01,7059.08,64
2023-01-01,7062.07,10
2023-01-01,7068.07,4
2023-01-01,7079.06,131
2023-01-01,7082.14,2
2023-01-01,7084.12,27
2023-01-01,7092.06,48
2023-01-01,7098.05,7
2023-01-01,7100.07,134
2023-01-01,7111.1,8
2023-01-01,7113.05,11
2023-01-01,7113.08,11
2023-01-01,7119.04,2
2023-01-01,7121.02,35
2023-01-01,7126.01,23
2023-01-01,7132.08,2
2023-01-01,7137.04,10
2023-01-01,7141.07,148
2023-01-01,7144.01,30
2023-01-01,7144.02,16
2023-01-01,7149.05,18
2023-01-01,7152.1,10
2023-01-01,7154.07,27
2023-01-01,7159.08,30
2023-01-01,7161.08,45
2023-01-01,7175.05,83
2023-01-01,7178.02,1
2023-01-01,7180.02,40
2023-01-01,7183.03,58
2023-01-01,7186.15,16
2023-01-01,7188.1,17
2023-01-01,7188.13,32
2023-01-01,7196.04,12
2023-01-01,7202.07,9
2023-01-01,7204.08,41
2023-01-01,7207.08,68
2023-01-01,7210.07,3
2023-01-01,7212.05,63
2023-01-01,7230.1,22
2023-01-01,7233.05,9
2023-01-01,7235.13,45
2023-01-01,7243.04,31
2023-01-01,7253.04,120
2023-01-01,7260.09,74
2023-01-01,7265.1,25
2023-01-01,7281.09,41
2023-01-01,7284.01,13
2023-01-01,7286.01,57
2023-01-01,7286.02,24
2023-01-01,7286.05,26
2023-01-01,7288.04,47
2023-01-01,7291.06,12
2023-01-01,7293.1,21
2023-01-01,7304.08,68
2023-01-01,7311.02,82
2023-01-01,7314.03,8
2023-01-01,7327.01,19
2023-01-01,7338.02,56
2023-01-01,7340.07,36
2023-01-01,7344.05,22
2023-01-01,7354.01,99
2023-01-01,7365.08,12
2023-01-01,7365.13,21
2023-01-01,7372.1,46
2023-01-01,7382.04,35
2023-01-01,7386.1,25
2023-01-01,7388.1,21
2023-01-01,7393.09,13
2023-01-01,7407.13,26
2023-01-01,7409.08,64
2023-01-01,7414.17,7
2023-01-01,7432.04,19
2023-01-01,7432.09,51
2023-01-01,7436.11,12
2023-01-01,7443.01,25
2023-01-01,7443.17,12
2023-01-01,7450.05,18
2023-01-01,7453.01,72
2023-01-01,7456.03,22
2023-01-01,7458.03,27
2023-01-01,7463.09,14
2023-01-01,7482.15,12
2023-01-01,7484.05,49
2023-01-01,7488.24,8
2023-01-01,7502.01,31
2023-01-01,7504.18,11
2023-01-01,7511.19,29
2023-01-01,7514.01,21
2023-01-01,7520.07,68
2023-01-01,7522.02,21
2023-01-01,7524.09,27
2023-01-01,7524.16,48
2023-01-01,7528.31,10
2023-01-01,7538.14,51
2023-01-01,7538.18,66
2023-01-01,7541.01,40
2023-01-01,7543.15,6
2023-01-01,7563.06,11
2023-01-01,7577.27,54
2023-01-01,7579.01,5
2023-01-01,7580.01,37
2023-01-01,7587.16,24
2023-01-01,7595.17,29
2023-01-01,7596.1,5
2023-01-01,7599.02,17
2023-01-01,7599.09,17
2023-01-01,7602.05,40
2023-01-01,7606.01,45
2023-01-01,7610.13,23
2023-01-01,7617.07,160
2023-01-01,7619.05,18
2023-01-01,7622.12,9
2023-01-01,7623.13,49
2023-01-01,7625.18,7
